rank,team,total,avg,points
135   136,Idaho,17 Commits,79.88,118.36
136   134,New Mexico,21 Commits,81.86,118.13
137   135,Northern Arizona,23 Commits,82.72,117.83
138   139,UAB,11 Commits,84.55,116.94
139   137,Akron,12 Commits,82.18,114.13
140   140,Sam Houston,16 Commits,83.02,113.32
141   138,Cal Poly,18 Commits,81.98,112.62
142   141,Grand Valley State,28 Commits,77.74,111.14
143   143,Missouri State,20 Commits,83.33,107.14
144   144,Youngstown State,9 Commits,82.71,102.22
145   145,Ferris State,16 Commits,78.27,97.29
146   146,Illinois State,12 Commits,80.40,90.90
147   148,UMass,11 Commits,83.62,89.12
148   150,Howard,8 Commits,83.27,87.44
149   147,Idaho State,11 Commits,79.82,86.37
150   152,Portland State,10 Commits,80.64,86.24
151   149,Delaware,20 Commits,83.14,85.71
152   151,Central Washington,14 Commits,79.60,85.46
153   155,Cornell,11 Commits,81.36,84.24
154   154,Western Illinois,9 Commits,81.33,83.70
155   157,East Tennessee State,15 Commits,84.44,82.37
156   153,Yale,11 Commits,81.02,81.62
157   159,Harvard,10 Commits,82.17,79.95
158   158,North Alabama,7 Commits,84.00,79.78
159   156,Charlotte,13 Commits,82.14,79.77
160   160,Jackson State,7 Commits,83.67,77.93
161   164,Saginaw Valley State,11 Commits,78.62,77.63
162   162,Northern Iowa,12 Commits,83.50,77.22
163   163,Tennessee State,6 Commits,83.41,76.43
164   165,Indiana State,11 Commits,78.60,75.12
165   161,Chattanooga,7 Commits,83.12,74.75
166   166,Austin Peay,11 Commits,85.34,74.20
167   168,Central Arkansas,7 Commits,85.20,73.59
168   167,Southern Illinois,9 Commits,80.88,71.69
169   172,Eastern Kentucky,6 Commits,83.94,67.48
170   169,Columbia,9 Commits,80.05,66.44
171   170,South Dakota,9 Commits,79.87,64.90
172   171,Weber State,8 Commits,83.20,63.95
173   173,Mercyhurst,7 Commits,80.93,63.01
174   174,North Dakota,18 Commits,78.00,58.89
175   177,West Georgia,11 Commits,84.78,57.97
176   175,Dartmouth,8 Commits,80.00,57.62
177   183,Stephen F. Austin,11 Commits,84.25,55.91
0   0,Ohio Dominican,6 Commits,81.43,55.59
178   178,Utah Tech,6 Commits,81.40,55.33
179   180,Mercer,17 Commits,81.33,54.97
180   176,Southern Utah,5 Commits,81.17,54.30
181   179,Colgate,7 Commits,79.44,54.19
